SpeciesName,LAI Value
Cleistanthus baramicus,0.89
Cleistanthus paxii,0.97
"Clethra barbinervis, Prunus Verecunda, Cinnamomum camphora, Eurya japonica ",7.6
Clinopodium vulgare,6.92
Clinopodium vulgare,4.7
Clinopodium vulgare,4.74
Clinopodium vulgare,4.79
Clinopodium vulgare,4.82
Clinopodium vulgare,4.85
Clinopodium vulgare,4.88
Clinopodium vulgare,4.89
Clinopodium vulgare,4.9
Clinopodium vulgare,4.91
Clinopodium vulgare,4.91
Clinopodium vulgare,4.9
Clinopodium vulgare,4.88
Clinopodium vulgare,4.86
Clinopodium vulgare,4.83
Clinopodium vulgare,4.8
Colophospermum mopane,0.26
"Colophospermum mopane, Terminalia sericea",0.87
"Combretocarpus rotundatus, Cratoxylum arborescens, Buchanania sessifolia, Tetramerista glabra",5.6
Combretodendron africanum,3.16
Cordia africana,0.61
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0.01
Cornus stolonifera,0
Cornus stolonifera,0.01
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.01
Cornus stolonifera,0.02
Cornus stolonifera,0.02
Cornus stolonifera,0.02
Cornus stolonifera,0.01
Cornus stolonifera,0.02
Cornus stolonifera,0.02
Cornus stolonifera,0.02
Cornus stolonifera,0.02
Cornus stolonifera,0.02
Cornus stolonifera,0.02
Cornus stolonifera,0.02
Cornus stolonifera,0.03
Cornus stolonifera,0.03
Cornus stolonifera,0.04
Cornus stolonifera,0.02
Cornus stolonifera,0.03
Cornus stolonifera,0.02
Cornus stolonifera,0.04
Cornus stolonifera,0.04
Cornus stolonifera,0.05
Cornus stolonifera,0.03
Cornus stolonifera,0.03
Cornus stolonifera,0.01
Cornus stolonifera,0.05
Cornus stolonifera,0.04
Cornus stolonifera,0.03
Cornus stolonifera,0.03
Cornus stolonifera,0.05
Cornus stolonifera,0.04
Cornus stolonifera,0.06
Cornus stolonifera,0.06
Cornus stolonifera,0.04
Cornus stolonifera,0.03
Cornus stolonifera,0.06
Cornus stolonifera,0.05
Cornus stolonifera,0.04
Cornus stolonifera,0.06
Cornus stolonifera,0.05
Cornus stolonifera,0.06
Cornus stolonifera,0.07
Cornus stolonifera,0.05
Cornus stolonifera,0.08
Cornus stolonifera,0.08
Cornus stolonifera,0.06
Cornus stolonifera,0.02
Cornus stolonifera,0.09
Cornus stolonifera,0.09
Cornus stolonifera,0
Cornus stolonifera,0.08
Cornus stolonifera,0.11
Cornus stolonifera,0.16
Cornus stolonifera,0.1
Cornus stolonifera,0.12
Cornus stolonifera,0.13
Cornus stolonifera,0.19
Cornus stolonifera,0.12
Cornus stolonifera,0.17
Cornus stolonifera,0.23
"Couratari guianensis, Eschweilera sp., Manilkara huberi, Carapa guianensis, Sclerolobium paniculatum, Pouteria sp., Protium decandro, Licaria guianensis",5.07
Cryptomeria japonica,5.38
Cryptomeria japonica,2.71
Cryptomeria japonica,6.4
Cryptomeria japonica,4.36
Cryptomeria japonica,3.42
Cryptomeria japonica,9.4
Cryptomeria japonica,12.1
Cryptomeria japonica,13
Cryptomeria japonica,14.7
Cryptomeria japonica,11.5
Cryptomeria japonica,10
Cryptomeria japonica,17.2
Cryptomeria japonica,5.4
Cryptomeria japonica,5.7
Cryptomeria japonica ,8.64
Cryptomeria japonica ,10
Cryptomeria japonica ,13.5
Cryptomeria japonica ,11.8
Cryptomeria japonica ,10.7
Cupressus lusitanica,3.84
Cupressus lusitanica,3.86
"Cupressus pygmaea, Vaccinium ovatum, Pinus contorta",2.09
Cupressus spp.,4.49
"Cyclobalanopsis glaucoldes, Keteleerla evekyniana",2.8
"Cyclobalanopsis glaucoldes, Keteleerla evekyniana",2.7
"Cyclobalanopsis glaucoldes, Keteleerla evekyniana",2.6
"Cyclobalanopsis oxyodon, Lithocarpus cleistocarpus, Phoebe chinensis, Lindera pulcherrina, Acer spp., Populus spp.",4.55
Cyrilla racemiflora,4.96
"Cyrilla racemiflora, Clethra occidentalis, Podocarpus urbanii Pilger, Hedyosmum arborescen",5.7
"Cyrilla racemiflora, Lyonia octandra, Chaetocarpus globosus",5.5
"Dacrycarpus cinctus, Podocarpus archboldii et al. (119 tree species)",4.88
Dacrydium cupressinum,3.7
"Dacrydium sp., Tristania sp., et al.",7.1
Dacryodes excelsa,7.34
Dacryodes klaineana,9
Dacryodes laxa,0.96
Dacryodes rostrata,1.06
"Dacyodes excelsa, Sloanea beteriana, Manilkara bidentata et al.",7.34
Dalbergia miscolobium,0.17
Dalbergia miscolobium,0.2
Dalbergia miscolobium,0.43
Dalbergia miscolobium,0.5
Dalbergia miscolobium,1.44
Dalbergia miscolobium,1.69
Dalbergia miscolobium,0.43
Dalbergia miscolobium,0.51
Dalbergia miscolobium,0.51
Dalbergia miscolobium,0.6
Dalbergia miscolobium,0.41
Dalbergia miscolobium,0.48
Dalbergia miscolobium,0.58
Dalbergia miscolobium,0.68
Dalbergia miscolobium,1.5
Dalbergia miscolobium,1.76
Dalbergia miscolobium,0.65
Dalbergia miscolobium,0.76
Dalbergia miscolobium,2.14
Dalbergia miscolobium,2.51
Deciduous,6.98
Deciduous and evergreen species belonging to the Guineo-Conglian phytochorion,9.24
Deciduous and evergreen species belonging to the Guineo-Conglian phytochorion,8.97
Deciduous northern temperate tree species,3.82
Dendrocalamus strictus,5.08
Dense coniferous,6.74
Deschampsia cespitosa,4.52
Deschampsia cespitosa,2
Deschampsia cespitosa,2.29
Deschampsia cespitosa,2.55
Deschampsia cespitosa,2.78
Deschampsia cespitosa,2.98
Deschampsia cespitosa,3.15
Deschampsia cespitosa,3.5
Deschampsia cespitosa,3.56
Deschampsia cespitosa,3.59
Deschampsia cespitosa,3.42
Deschampsia cespitosa,3.31
Deschampsia cespitosa,3.16
Deschampsia cespitosa,2.79
Deschampsia cespitosa,2.57
"Deschampsia flexuosa, Leiophyllum lyoni",0.08
"Dialium species, Aucoumea klaineana",7
Digitalis purpurea,5.41
Digitalis purpurea,5.04
Digitalis purpurea,4.91
Digitalis purpurea,4.78
Digitalis purpurea,4.64
Digitalis purpurea,4.5
Digitalis purpurea,4.34
Digitalis purpurea,4.19
Digitalis purpurea,4.02
Digitalis purpurea,3.85
Digitalis purpurea,3.67
Digitalis purpurea,3.49
Digitalis purpurea,3.29
Digitalis purpurea,2.89
Digitalis purpurea,2.68
Digitalis purpurea,2.46
Digitalis purpurea,2.24
Digitalis purpurea,2.01
Digitaria sanguinalis,3.37
Digitaria sanguinalis,0.78
Digitaria sanguinalis,1.85
Digitaria sanguinalis,2.62
Digitaria sanguinalis,3.07
Digitaria sanguinalis,3.21
Digitaria sanguinalis,3.04
Digitaria sanguinalis,2.55
Digitaria sanguinalis,1.76
Diospyros curranii,0.7
Diospyros fusiformis,1.65
"Diospyros sandwicensis, Psydrax odorata",2.86
"Diospyros sandwicensis, Psydrax odorata",1.35
Dipterocarp,10.2
Dipterocarp species,7.27
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",4.8
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",3.8
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",3.5
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",2.4
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",5.6
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",3.6
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",3.8
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",1.6
Dipterocarpus acutangulus,0.57
"Dipterocarpus alatus, Mangifera caloneura, Gymnosporia spp.",12.1
Dipterocarpus applanatus,0.97
Dipterocarpus caudiferus,0.26
Dipterocarpus grandiflorus,0.8
"Dipterocarpus obtusifolius, Lagerstroemia calyculata et al.",5.7
"Dipterocarpus obtusifolius, Shorea obtusa et al.",2.65
"Dipterocarpus obtusifolius, Shorea obtusa et al.",4.9
"Dipterocarpus spp., Anisoptera sp., Myristica sp., Beilschmiedia sp., et al.",7.37
"Dipterocarpus spp., Anisoptera sp., Myristica sp., Beilschmiedia sp., et al.",7.32
Drimys winteri,3
Drimys winteri,3.6
Dry sclerophyll forest species,1.48
"Dryas integrifolia, Salix arctica",0.23
Elaeagnus umbellata,5.8
Elaeis guineensis,4.42
Elaeis guineensis,5.58
Elaeis guineensis,4.79
Elaeis guineensis,3.81
"Elateriospermum tapos, Anisoptera laevis, Parashorea lucida, Shorea retinoides",5.5
Empetrum hermaphroditum,0.72
Empetrum hermaphroditum,0.5
"Entandrophragma spp., Gilbertiodendron dewevrei, sem-deciduous spp.",5.47
"Eperua falcata, Vouacapoua americana, Dicorynia guianensis, Carapa procera",8.6
Eperua molenillo,3.04
Ericaceous vegetation,0.11
Eriotheca pubescens,1.12
Eriotheca pubescens,1.32
Eriotheca pubescens,1.55
Eriotheca pubescens,1.81
Eriotheca pubescens,2.12
Eriotheca pubescens,2.49
Eriotheca pubescens,2.2
Eriotheca pubescens,2.58
Eriotheca pubescens,1.01
Eriotheca pubescens,1.19
Eriotheca pubescens,0.74
Eriotheca pubescens,0.86
Eriotheca pubescens,0.92
Eriotheca pubescens,1.08
Eriotheca pubescens,1.51
Eriotheca pubescens,1.77
Eriotheca pubescens,2.04
Eriotheca pubescens,2.4
Eriotheca pubescens,2.1
Eriotheca pubescens,2.47
Eriotheca pubescens,2.39
Eriotheca pubescens,2.8
Eucalyptus,2.07
Eucalyptus,2.05
Eucalyptus,2.09
Eucalyptus,1.47
Eucalyptus,4.09
Eucalyptus,4.4
Eucalyptus,1.89
Eucalyptus,1.68
Eucalyptus,2.03
Eucalyptus,2.59
Eucalyptus,0.01
Eucalyptus,0.34
Eucalyptus,2.98
Eucalyptus,0.49
Eucalyptus,0.86
Eucalyptus,1.99
Eucalyptus,0.71
Eucalyptus,0.59
Eucalyptus,0.36
Eucalyptus,0.13
Eucalyptus,0.1
Eucalyptus,0.46
Eucalyptus,0.17
Eucalyptus,1.86
Eucalyptus,2.46
Eucalyptus,3.13
"Eucalyptus baxteri, E. faciculosa, E. leucoxylon",1.07
Eucalyptus bridgesiana,0.72
Eucalyptus calophylla,2.3
Eucalyptus calophylla,1.9
Eucalyptus camaldulensis,1.52
Eucalyptus camaldulensis,3.26
Eucalyptus camaldulensis,2.46
Eucalyptus camaldulensis,2.11
Eucalyptus camaldulensis,2.23
Eucalyptus camaldulensis,2.62
Eucalyptus camaldulensis,2.39
Eucalyptus camaldulensis,1.35
Eucalyptus camaldulensis,1.23
Eucalyptus camaldulensis,0.98
Eucalyptus camaldulensis,0.28
Eucalyptus camaldulensis,3.58
Eucalyptus clone (E. grandis *E. urophylla),3.4
"Eucalyptus creba, Eucalyptus drepanophylla",1.3
Eucalyptus cupularis/Eucalyptus fasciculosa,0.65
Eucalyptus cypellocarpa,1.95
Eucalyptus delegatensis,2.11
Eucalyptus delegatensis,1.5
"Eucalyptus delegatensis, Eucalyptus dalrymplean",2.4
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",1.42
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",1.72
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",0.73
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",1.2
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",1.07
Eucalyptus diversicolor,1.3
Eucalyptus diversicolor,1.3
Eucalyptus diversicolor,2.6
Eucalyptus diversicolor,5
Eucalyptus dives,1.8
Eucalyptus dumosa,0.6
Eucalyptus dumosa,0.75
Eucalyptus dumosa,1.21
Eucalyptus fasciculosa,0.44
Eucalyptus fasciculosa,0.75
Eucalyptus fastigata,2.93
Eucalyptus globulus,2.7
Eucalyptus globulus,2.8
Eucalyptus globulus,3.7
Eucalyptus globulus,3.5
Eucalyptus globulus,2.7
Eucalyptus globulus,3
Eucalyptus globulus,2.9
Eucalyptus globulus,5.3
Eucalyptus globulus,3
Eucalyptus globulus,2.4
Eucalyptus globulus,3.3
Eucalyptus globulus,5
Eucalyptus globulus,2.3
Eucalyptus globulus,3.9
Eucalyptus globulus,2.4
Eucalyptus globulus,3.37
Eucalyptus globulus,4.54
Eucalyptus globulus,4.87
Eucalyptus globulus,3.11
Eucalyptus globulus,4.58
Eucalyptus globulus,2.71
Eucalyptus globulus,3.3
Eucalyptus globulus,3.2
Eucalyptus globulus,4.3
Eucalyptus globulus,4.9
Eucalyptus globulus,6.1
Eucalyptus globulus,4.6
Eucalyptus globulus,3.7
Eucalyptus globulus,1.39
"Eucalyptus globulus, Acacia mearnsii",2.07
"Eucalyptus globulus, Eucalyptus radiata",1.39
"Eucalyptus globulus, Eucalyptus viminalis, Eucalyptus radiata",2.01
Eucalyptus grandis,3.8
Eucalyptus grandis,4.15
Eucalyptus grandis,3.6
Eucalyptus grandis,2.07
Eucalyptus grandis * camaldulensis hybrid,2.29
Eucalyptus grandis * camaldulensis hybrid,1.98
Eucalyptus grandis * camaldulensis hybrid,1.18
Eucalyptus grandis * camaldulensis hybrid,2.36
Eucalyptus grandis * camaldulensis hybrid,2.13
Eucalyptus grandis * camaldulensis hybrid,1.51
Eucalyptus grandis * camaldulensis hybrid,3.01
Eucalyptus grandis * camaldulensis hybrid,2.46
Eucalyptus grandis * camaldulensis hybrid,2.65
Eucalyptus grandis * camaldulensis hybrid,2.18
Eucalyptus grandis * camaldulensis hybrid,1.79
Eucalyptus grandis * camaldulensis hybrid,3.95
Eucalyptus grandis * urophylla (mixed clonal),2.9
Eucalyptus grandis * urophylla (mixed clonal),2.9
Eucalyptus grandis * urophylla (mixed clonal),3.4
Eucalyptus grandis * urophylla (mixed clonal),3.1
Eucalyptus grandis * urophylla (mixed clonal),3.8
Eucalyptus grandis * urophylla (mixed clonal),2.2
Eucalyptus grandis * urophylla (mixed clonal),3.3
Eucalyptus grandis * urophylla (mixed clonal),3.7
Eucalyptus grandis * urophylla (mixed clonal),4.2
Eucalyptus grandis * urophylla (mixed clonal),4.6
Eucalyptus grandis * urophylla (mixed clonal),5.8
Eucalyptus grandis * urophylla (mono clonal),2.4
Eucalyptus grandis * urophylla (mono clonal),3
Eucalyptus grandis * urophylla (mono clonal),3
Eucalyptus grandis hybrids,2.3
Eucalyptus grandis*Eucalyptus urophylla hybrids,4.39
Eucalyptus grandis*Eucalyptus urophylla hybrids,5.83
Eucalyptus grandis*Eucalyptus urophylla hybrids,4.19
Eucalyptus grandis*Eucalyptus urophylla hybrids,3.54
Eucalyptus letophylla/Eucalyptus incrassata,0.25
"Eucalyptus leucoxylon, E. occidentalis",0.8
Eucalyptus luecoxylon,0.95
"Eucalyptus macrorhyncha, Eucalyptus albens ",0.92
"Eucalyptus macrorhyncha, Eucalyptus albens ",0.83
Eucalyptus maculata,2.78
Eucalyptus maculata,4.9
"Eucalyptus maculata, E. gummifera",1.47
"Eucalyptus maculata, E. gummifera",1.53
"Eucalyptus maculata, E. gummifera",1.1
"Eucalyptus maculata, E. gummifera",1.3
"Eucalyptus maculata, E. gummifera",1.56
"Eucalyptus maculata, E. gummifera",1.96
"Eucalyptus maculata, E. gummifera",1.67
"Eucalyptus maculata, E. gummifera",1.52
"Eucalyptus maculata, E. gummifera",1.7
"Eucalyptus maculata, E. gummifera",1.09
"Eucalyptus maculata, E. gummifera",1.06
"Eucalyptus maculata, E. gummifera",1.48
"Eucalyptus maculata, E. gummifera",1.68
"Eucalyptus maculata, Ecucalyptus paniculata, Eucalyptus globoidea, Eucalyptus pilularis, Eucalyptus sieberi",4.95
Eucalyptus marginata,3
Eucalyptus marginata,1.71
Eucalyptus marginata,1.66
Eucalyptus marginata,2.75
Eucalyptus marginata,1.89
Eucalyptus marginata,2.72
Eucalyptus marginata,2.83
Eucalyptus marginata,2.61
Eucalyptus marginata,1.94
Eucalyptus marginata,2.31
Eucalyptus marginata,1.06
Eucalyptus marginata,0.85
Eucalyptus marginata,1.73
Eucalyptus marginata,1.05
Eucalyptus marginata,1.32
Eucalyptus marginata,4
Eucalyptus marginata,1.8
Eucalyptus marginata,1.51
Eucalyptus marginata,1.27
Eucalyptus marginata,2.45
Eucalyptus marginata,2.14
Eucalyptus marginata,1.6
Eucalyptus marginata,2.98
Eucalyptus marginata,1.69
"Eucalyptus marginata, Eucalyptus calophylla",1.8
"Eucalyptus marginata, Eucalyptus calophylla",1.4
"Eucalyptus marginata, Eucalyptus calophylla",1.5
"Eucalyptus marginata, Eucalyptus calophylla",0.3
"Eucalyptus marginata, Eucalyptus calophylla",1.7
"Eucalyptus marginata, Eucalyptus calophylla",1.3
"Eucalyptus marginata, Eucalyptus calophylla",2.6
"Eucalyptus marginata, Eucalyptus calophylla",2.4
"Eucalyptus marginata, Eucalyptus calophylla",2.6
Eucalyptus meullerana,3.8
Eucalyptus meullerana,4.8
Eucalyptus microcorys,5.2
Eucalyptus microcorys,5
Eucalyptus microcorys,3.9
Eucalyptus microcorys,2.3
Eucalyptus microcorys,4
Eucalyptus microcorys,2.5
Eucalyptus microcorys,2
Eucalyptus nitens,2.24
Eucalyptus nitens,7.43
Eucalyptus nitens,2.5
Eucalyptus nitens,2.5
Eucalyptus nitens,5.83
Eucalyptus nitens,4.73
Eucalyptus nitens,3.28
Eucalyptus nitens,3.72
Eucalyptus nitens,4.25
Eucalyptus nitens,4.87
Eucalyptus nitens,4.31
"Eucalyptus nitens, Acacia dealbata",3.7
"Eucalyptus nitens, Acacia dealbata",4
"Eucalyptus nitens, Acacia dealbata",3.5
"Eucalyptus nitens, Acacia dealbata",2.3
"Eucalyptus nitens, Acacia dealbata",3
"Eucalyptus nitens, Acacia dealbata",3.6
Eucalyptus obliqua,1.34
Eucalyptus obliqua,1.23
Eucalyptus obliqua,5.4
Eucalyptus obliqua/Eucalyptus cypellocarpa,1.93
Eucalyptus ovata,1.08
Eucalyptus pauciflora,0.85
"Eucalyptus pauciflora, Eucalyptus dalrympleana ",1.17
"Eucalyptus pauciflora, Eucalyptus dalrympleana ",1.4
Eucalyptus porosa,0.69
Eucalyptus radiata,1.13
"Eucalyptus radiata, Eucalyptus dalrympleana ",1.92
"Eucalyptus radiata, Eucalyptus mannifera",1.32
Eucalyptus regnans,6.2
Eucalyptus regnans,4.4
Eucalyptus regnans,4.29
Eucalyptus regnans,3.67
Eucalyptus regnans,3.99
Eucalyptus regnans,4.76
Eucalyptus regnans,4.69
Eucalyptus regnans,4.48
Eucalyptus regnans,4.47
Eucalyptus regnans,3.61
Eucalyptus regnans,3.11
Eucalyptus regnans,3.61
Eucalyptus regnans,3.65
Eucalyptus regnans,9
"Eucalyptus regnans, Acacia dealbata",4
"Eucalyptus rossii, E. maculata",0.81
"Eucalyptus rossii, E. maculata",1.24
Eucalyptus saligna,1.65
Eucalyptus saligna,5.18
Eucalyptus saligna,4.1
Eucalyptus saligna,3.18
Eucalyptus saligna,2.78
Eucalyptus saligna,2.99
Eucalyptus saligna,1.99
Eucalyptus saligna,1.84
Eucalyptus saligna,1.8
Eucalyptus saligna,1.46
Eucalyptus sieberi,1.96
Eucalyptus sieberi,3.4
Eucalyptus sieberi,4
Eucalyptus sieberi,3.6
Eucalyptus sieberii,11
"Eucalyptus signata, Eucalyptus umbra",2.46
Eucalyptus socialis,0.45
Eucalyptus socialis,0.67
Eucalyptus sp.,0.79
Eucalyptus sp.,1.71
Eucalyptus sp.,1.6
Eucalyptus sp.,1.64
Eucalyptus sp.,2.31
Eucalyptus sp.,1.45
Eucalyptus sp.,1.02
Eucalyptus sp.,0.89
Eucalyptus sp.,0.86
Eucalyptus sp.,1.8
Eucalyptus sp.,1.2
Eucalyptus sp.,0.36
Eucalyptus sp.,0.48
Eucalyptus sp.,0.59
Eucalyptus sp.,0.57
Eucalyptus sp.,0.61
Eucalyptus sp.,0.65
Eucalyptus sp.,0.54
Eucalyptus sp.,0.42
Eucalyptus sp.,0.77
Eucalyptus sp.,0.81
Eucalyptus sp.,0.83
Eucalyptus sp.,0.93
Eucalyptus spp.,2
Eucalyptus spp.,4.01
Eucalyptus stellulata,0.66
"Eucalyptus terminalis, E. capricornia",0.25
"Eucalyptus tetrodonta, E. miniata",2.1
"Eucalyptus tetrodonta, Eucalyptus miniata",0.9
"Eucalyptus tetrodonta, Eucalyptus miniata",1
"Eucalyptus tetrodonta, Eucalyptus miniata",0.7
"Eucalyptus tetrodonta, Eucalyptus miniata",1.1
"Eucalyptus tetrodonta, Eucalyptus miniata",0.9
"Eucalyptus tetrodonta, Eucalyptus miniata",0.5
"Eucalyptus tetrodonta, Eucalyptus miniata",0.8
"Eucalyptus tetrodonta, Eucalyptus miniata",0.6
"Eucalyptus tetrodonta, Eucalyptus miniata",1
"Eucalyptus tetrodonta, Eucalyptus miniata",0.6
"Eucalyptus tetrodonta, Eucalyptus miniata",0.4
"Eucalyptus tetrodonta, Eucalyptus miniata",1
"Eucalyptus tetrodonta, Eucalyptus miniata",0.7
"Eucalyptus tetrodonta, Eucalyptus miniata",0.7
"Eucalyptus tetrodonta, Eucalyptus miniata",1
"Eucalyptus tetrodonta, Eucalyptus miniata",0.9
"Eucalyptus tetrodonta, Eucalyptus miniata",0.6
"Eucalyptus tetrodonta, Eucalyptus miniata",0.8
"Eucalyptus umbonata, E. tetrodonta",1.25
Eucalyptus viminalis,0.99
Eucalyptus viminalis/Eucalyptus pauciflora,1.34
Eucryphia cordifolia,2.1
Eucryphia cordifolia,3.7
Euxylophora paraensis,2.1
"Evergreen and deciduous shrub, Graminoids",1.2
Evergreen broadleaf species,11.82
Evergreen forest,2.1
"Evergreen shrub (L. palustre, V vitis-ideaea, E. nigrum, L. procumbens)",0.18
Fagus crenata,4.18
Fagus crenata,6
Fagus crenata,4.5
Fagus crenata,3.9
Fagus crenata,4.6
Fagus crenata,5.3
Fagus crenata,5.2
Fagus crenata,4.3
Fagus crenata,4
Fagus crenata,5
Fagus crenata,4.5
Fagus crenata,4.2
Fagus crenata,4.4
Fagus crenata,5.2
Fagus crenata,4.1
Fagus crenata,4.83
Fagus crenata,4.11
Fagus crenata,5.38
Fagus crenata,7.11
Fagus crenata,6.8
Fagus crenata,5.95
Fagus crenata,7.8
Fagus crenata,7.6
Fagus crenata,7.7
Fagus crenata,3.3
Fagus crenata,3.2
Fagus crenata,3.3
Fagus crenata,3.6
Fagus crenata,5.4
Fagus crenata,4.9
Fagus crenata,4.4
Fagus crenata,4.5
Fagus crenata,5.38
Fagus crenata,4.41
Fagus crenata,7.84
Fagus crenata,4.54
Fagus crenata,3.96
Fagus crenata,4.33
Fagus crenata,3.19
Fagus crenata,5.77
Fagus crenata,4.19
Fagus crenata,4.79
Fagus crenata,5.27
Fagus crenata,6.15
Fagus crenata,4.61
Fagus crenata,7.84
Fagus crenata,5.5
Fagus crenata,5.8
"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",6.51
"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",4.82
"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",6
"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",5.56
Fagus grandifolia,3.04
Fagus grandifolia,3.49
Fagus grandifolia,2.9
Fagus grandifolia,14.8
"Fagus grandifolia, Acer saccharum",3
"Fagus grandifolia, Acer saccharum",4.4
"Fagus grandifolia, Acer saccharum",3.9
"Fagus grandifolia, Acer saccharum",4.5
"Fagus grandifolia, Acer saccharum, Betula alleghaniensis",5.95
"Fagus grandifolia, Acer saccharum, Betula alleghaniensis, Acer rubrum, Betula papyrifera",3.6
"Fagus grandifolia, Acer saccharum, Betula lutea",5.5
"Fagus grandifolia, Acer saccharum, Betula lutea",6.2
"Fagus grandifolia, Acer saccharum, Quercus velutina, Cornus florida",4
"Fagus grandifolia, Quercus rubra",3.33
Fagus orientalis,5.2
Fagus orientalis,4.3
Fagus orientalis,4.8
Fagus sylvatica,7.9
Fagus sylvatica,8.2
Fagus sylvatica,7.6
Fagus sylvatica,7.8
Fagus sylvatica,7.1
Fagus sylvatica,6.8
Fagus sylvatica,9.1
Fagus sylvatica,7.9
Fagus sylvatica,5.6
Fagus sylvatica,7.8
Fagus sylvatica,7.4
Fagus sylvatica,6.4
Fagus sylvatica,6.5
Fagus sylvatica,6.8
Fagus sylvatica,6.4
Fagus sylvatica,7.7
Fagus sylvatica,9.5
Fagus sylvatica,7.3
Fagus sylvatica,6.5
Fagus sylvatica,6.7
Fagus sylvatica,8.5
Fagus sylvatica,8.6
Fagus sylvatica,6.8
Fagus sylvatica,6
Fagus sylvatica,6.72
Fagus sylvatica,7.9
Fagus sylvatica,7.38
Fagus sylvatica,6.9
Fagus sylvatica,7.12
Fagus sylvatica,6.9
Fagus sylvatica,7.18
Fagus sylvatica,6.18
Fagus sylvatica,7.14
Fagus sylvatica,7.14
Fagus sylvatica,9.2
Fagus sylvatica,7.4
Fagus sylvatica,4.91
Fagus sylvatica,7.4
Fagus sylvatica,7.6
Fagus sylvatica,4.27
Fagus sylvatica,4.95
Fagus sylvatica,4.12
Fagus sylvatica,6.1
Fagus sylvatica,4.1
Fagus sylvatica,4.9
Fagus sylvatica,7.6
Fagus sylvatica,6.8
Fagus sylvatica,7.8
Fagus sylvatica,2.9
Fagus sylvatica,4.5
Fagus sylvatica,6.15
Fagus sylvatica,5.05
Fagus sylvatica,8.1
Fagus sylvatica,6.1
Fagus sylvatica,6.2
Fagus sylvatica,2.89
Fagus sylvatica,2.97
Fagus sylvatica,3.1
Fagus sylvatica,2.77
Fagus sylvatica,2.5
Fagus sylvatica,3.22
Fagus sylvatica,2.28
Fagus sylvatica,2.88
Fagus sylvatica,3.13
Fagus sylvatica,3.17
Fagus sylvatica,3.34
Fagus sylvatica,3
Fagus sylvatica,2.73
Fagus sylvatica,2.56
Fagus sylvatica,3.31
Fagus sylvatica,2.39
Fagus sylvatica,2.78
Fagus sylvatica,3.01
Fagus sylvatica,2.56
Fagus sylvatica,2.61
Fagus sylvatica,2.8
Fagus sylvatica,2.33
Fagus sylvatica,2.47
Fagus sylvatica,10.2
Fagus sylvatica,7.8
Fagus sylvatica,7.8
Fagus sylvatica,7.5
Fagus sylvatica,9
Fagus sylvatica,7.3
Fagus sylvatica,8.8
Fagus sylvatica,8.4
Fagus sylvatica,8.5
Fagus sylvatica,9
Fagus sylvatica,7.8
Fagus sylvatica,9.2
Fagus sylvatica,7.2
Fagus sylvatica,5.4
Fagus sylvatica,8.6
Fagus sylvatica,6.58
Fagus sylvatica,2.79
Fagus sylvatica,6.71
Fagus sylvatica,5.53
Fagus sylvatica,7.18
Fagus sylvatica,6.79
Fagus sylvatica,7.5
Fagus sylvatica,6.7
Fagus sylvatica,4
Fagus sylvatica,5.3
Fagus sylvatica,4.4
Fagus sylvatica,4.7
Fagus sylvatica,4.7
Fagus sylvatica,5.21
Fagus sylvatica,6.6
Fagus sylvatica,5.7
Fagus sylvatica,6.5
Fagus sylvatica,5.3
Fagus sylvatica,5
Fagus sylvatica,5.3
Fagus sylvatica,7.3
